Sequence,folioURN,Siglum,RV,name
858,urn:cite:fufolio:msCodBod25.129v,codbod25,verso,folio129v
859,urn:cite:fufolio:msCodBod25.130r,codbod25,recto,folio130r
860,urn:cite:fufolio:msCodBod25.130v,codbod25,verso,folio130v
861,urn:cite:fufolio:msCodBod25.131r,codbod25,recto,folio131r
862,urn:cite:fufolio:msCodBod25.131v,codbod25,verso,folio131v
863,urn:cite:fufolio:msCodBod25.132r,codbod25,recto,folio132r
864,urn:cite:fufolio:msCodBod25.132v,codbod25,verso,folio132v
865,urn:cite:fufolio:msCodBod25.133r,codbod25,recto,folio133r
866,urn:cite:fufolio:msCodBod25.133v,codbod25,verso,folio133v
867,urn:cite:fufolio:msCodBod25.134r,codbod25,recto,folio134r
868,urn:cite:fufolio:msCodBod25.134v,codbod25,verso,folio134v
869,urn:cite:fufolio:msCodBod25.135r,codbod25,recto,folio135r
870,urn:cite:fufolio:msCodBod25.135v,codbod25,verso,folio135v
871,urn:cite:fufolio:msCodBod25.136r,codbod25,recto,folio136r
872,urn:cite:fufolio:msCodBod25.136v,codbod25,verso,folio136v
873,urn:cite:fufolio:msCodBod25.137r,codbod25,recto,folio137r
874,urn:cite:fufolio:msCodBod25.137v,codbod25,verso,folio137v
875,urn:cite:fufolio:msCodBod25.138r,codbod25,recto,folio138r
876,urn:cite:fufolio:msCodBod25.138v,codbod25,verso,folio138v
877,urn:cite:fufolio:msCodBod25.139r,codbod25,recto,folio139r
878,urn:cite:fufolio:msCodBod25.139v,codbod25,verso,folio139v
879,urn:cite:fufolio:msCodBod25.140r,codbod25,recto,folio140r
880,urn:cite:fufolio:msCodBod25.140v,codbod25,verso,folio140v
881,urn:cite:fufolio:msCodBod25.141r,codbod25,recto,folio141r
882,urn:cite:fufolio:msCodBod25.141v,codbod25,verso,folio141v
883,urn:cite:fufolio:msCodBod25.142r,codbod25,recto,folio142r
884,urn:cite:fufolio:msCodBod25.142v,codbod25,verso,folio142v
885,urn:cite:fufolio:msCodBod25.143r,codbod25,recto,folio143r
886,urn:cite:fufolio:msCodBod25.143v,codbod25,verso,folio143v
887,urn:cite:fufolio:msCodBod25.144r,codbod25,recto,folio144r
888,urn:cite:fufolio:msCodBod25.144v,codbod25,verso,folio144v
889,urn:cite:fufolio:msCodBod25.145r,codbod25,recto,folio145r
890,urn:cite:fufolio:msCodBod25.145v,codbod25,verso,folio145v
891,urn:cite:fufolio:msCodBod25.146r,codbod25,recto,folio146r
892,urn:cite:fufolio:msCodBod25.146v,codbod25,verso,folio146v
893,urn:cite:fufolio:msCodBod25.147r,codbod25,recto,folio147r
894,urn:cite:fufolio:msCodBod25.147v,codbod25,verso,folio147v
895,urn:cite:fufolio:msCodBod25.148r,codbod25,recto,folio148r
896,urn:cite:fufolio:msCodBod25.148v,codbod25,verso,folio148v
897,urn:cite:fufolio:msCodBod25.149r,codbod25,recto,folio149r
898,urn:cite:fufolio:msCodBod25.149v,codbod25,verso,folio149v
899,urn:cite:fufolio:msCodBod25.150r,codbod25,recto,folio150r
900,urn:cite:fufolio:msCodBod25.150v,codbod25,verso,folio150v
901,urn:cite:fufolio:msCodBod25.151r,codbod25,recto,folio151r
902,urn:cite:fufolio:msCodBod25.151v,codbod25,verso,folio151v
903,urn:cite:fufolio:msCodBod25.152r,codbod25,recto,folio152r
904,urn:cite:fufolio:msCodBod25.152v,codbod25,verso,folio152v
905,urn:cite:fufolio:msCodBod25.153r,codbod25,recto,folio153r
906,urn:cite:fufolio:msCodBod25.153v,codbod25,verso,folio153v
907,urn:cite:fufolio:msCodBod25.154r,codbod25,recto,folio154r
908,urn:cite:fufolio:msCodBod25.154v,codbod25,verso,folio154v
909,urn:cite:fufolio:msCodBod25.155r,codbod25,recto,folio155r
910,urn:cite:fufolio:msCodBod25.155v,codbod25,verso,folio155v
911,urn:cite:fufolio:msCodBod25.156r,codbod25,recto,folio156r
912,urn:cite:fufolio:msCodBod25.156v,codbod25,verso,folio156v
913,urn:cite:fufolio:msCodBod25.157r,codbod25,recto,folio157r
914,urn:cite:fufolio:msCodBod25.157v,codbod25,verso,folio157v
915,urn:cite:fufolio:msCodBod25.158r,codbod25,recto,folio158r
916,urn:cite:fufolio:msCodBod25.158v,codbod25,verso,folio158v
917,urn:cite:fufolio:msCodBod25.159r,codbod25,recto,folio159r
918,urn:cite:fufolio:msCodBod25.159v,codbod25,verso,folio159v
919,urn:cite:fufolio:msCodBod25.160r,codbod25,recto,folio160r
920,urn:cite:fufolio:msCodBod25.160v,codbod25,verso,folio160v
921,urn:cite:fufolio:msCodBod25.161r,codbod25,recto,folio161r
922,urn:cite:fufolio:msCodBod25.161v,codbod25,verso,folio161v
923,urn:cite:fufolio:msCodBod25.162r,codbod25,recto,folio162r
924,urn:cite:fufolio:msCodBod25.162v,codbod25,verso,folio162v
925,urn:cite:fufolio:msCodBod25.163r,codbod25,recto,folio163r
926,urn:cite:fufolio:msCodBod25.163v,codbod25,verso,folio163v
927,urn:cite:fufolio:msCodBod25.164r,codbod25,recto,folio164r
928,urn:cite:fufolio:msCodBod25.164v,codbod25,verso,folio164v
929,urn:cite:fufolio:msCodBod25.165r,codbod25,recto,folio165r
930,urn:cite:fufolio:msCodBod25.165v,codbod25,verso,folio165v
931,urn:cite:fufolio:msCodBod25.166r,codbod25,recto,folio166r
932,urn:cite:fufolio:msCodBod25.166v,codbod25,verso,folio166v
933,urn:cite:fufolio:msCodBod25.167r,codbod25,recto,folio167r
934,urn:cite:fufolio:msCodBod25.167v,codbod25,verso,folio167v
935,urn:cite:fufolio:msCodBod25.168r,codbod25,recto,folio168r
936,urn:cite:fufolio:msCodBod25.168v,codbod25,verso,folio168v
937,urn:cite:fufolio:msCodBod25.169r,codbod25,recto,folio169r
938,urn:cite:fufolio:msCodBod25.169v,codbod25,verso,folio169v
939,urn:cite:fufolio:msCodBod25.170r,codbod25,recto,folio170r
940,urn:cite:fufolio:msCodBod25.170v,codbod25,verso,folio170v
941,urn:cite:fufolio:msCodBod25.171r,codbod25,recto,folio171r
942,urn:cite:fufolio:msCodBod25.171v,codbod25,verso,folio171v
943,urn:cite:fufolio:msCodBod25.172r,codbod25,recto,folio172r
944,urn:cite:fufolio:msCodBod25.172v,codbod25,verso,folio172v
945,urn:cite:fufolio:msCodBod25.173r,codbod25,recto,folio173r
946,urn:cite:fufolio:msCodBod25.173v,codbod25,verso,folio173v
947,urn:cite:fufolio:msCodBod25.174r,codbod25,recto,folio174r
948,urn:cite:fufolio:msCodBod25.174v,codbod25,verso,folio174v
949,urn:cite:fufolio:msCodBod25.175r,codbod25,recto,folio175r
950,urn:cite:fufolio:msCodBod25.175v,codbod25,verso,folio175v
951,urn:cite:fufolio:msCodBod25.176r,codbod25,recto,folio176r
952,urn:cite:fufolio:msCodBod25.176v,codbod25,verso,folio176v
953,urn:cite:fufolio:msCodBod25.177r,codbod25,recto,folio177r
954,urn:cite:fufolio:msCodBod25.177v,codbod25,verso,folio177v
955,urn:cite:fufolio:msCodBod25.178r,codbod25,recto,folio178r
956,urn:cite:fufolio:msCodBod25.178v,codbod25,verso,folio178v
957,urn:cite:fufolio:msCodBod25.179r,codbod25,recto,folio179r
958,urn:cite:fufolio:msCodBod25.179v,codbod25,verso,folio179v
959,urn:cite:fufolio:msCodBod25.180r,codbod25,recto,folio180r
960,urn:cite:fufolio:msCodBod25.180v,codbod25,verso,folio180v
961,urn:cite:fufolio:msCodBod25.181r,codbod25,recto,folio181r
962,urn:cite:fufolio:msCodBod25.181v,codbod25,verso,folio181v
