urn,imgurn,textreading,comments,texturn
urn:cite:openpal:fuCB25op.10001,urn:cite:ecod:codbod25.cb-0025_056r@0.2044,0.1856,0.0251,0.027,α,alpha,
urn:cite:openpal:fuCB25op.10002,urn:cite:ecod:codbod25.cb-0025_056r@0.2234,0.1841,0.023,0.027,θ,theta,
urn:cite:openpal:fuCB25op.10003,urn:cite:ecod:codbod25.cb-0025_056r@0.2415,0.1841,0.023,0.027,η,eta,
urn:cite:openpal:fuCB25op.10004,urn:cite:ecod:codbod25.cb-0025_056r@0.2615,0.1916,0.012,0.0143,τ,tau,
urn:cite:openpal:fuCB25op.10005,urn:cite:ecod:codbod25.cb-0025_056r@0.2715,0.1803,0.0301,0.0255,ευ,epsilon+upsilon ligature,
urn:cite:openpal:fuCB25op.10006,urn:cite:ecod:codbod25.cb-0025_056r@0.2896,0.1878,0.021,0.018,σ,sigma,
urn:cite:openpal:fuCB25op.10007,urn:cite:ecod:codbod25.cb-0025_056r@0.3016,0.1878,0.0321,0.0165,α,alpha,
urn:cite:openpal:fuCB25op.10008,urn:cite:ecod:codbod25.cb-0025_056r@0.3257,0.1878,0.023,0.0165,τ,tau,
urn:cite:openpal:fuCB25op.10009,urn:cite:ecod:codbod25.cb-0025_056r@0.3377,0.1818,0.023,0.0203,ε,epsilon,
urn:cite:openpal:fuCB25op.10010,urn:cite:ecod:codbod25.cb-0025_056r@0.3597,0.1878,0.0331,0.0173,π,pi,
urn:cite:openpal:fuCB25op.10011,urn:cite:ecod:codbod25.cb-0025_056r@0.3818,0.1863,0.0331,0.0173,α,alpha,
urn:cite:openpal:fuCB25op.10012,urn:cite:ecod:codbod25.cb-0025_056r@0.4038,0.1863,0.019,0.0203,ν,nu,
urn:cite:openpal:fuCB25op.10013,urn:cite:ecod:codbod25.cb-0025_056r@0.4238,0.1863,0.019,0.0203,τ,tau,
urn:cite:openpal:fuCB25op.10014,urn:cite:ecod:codbod25.cb-0025_056r@0.4349,0.1841,0.0281,0.0203,α,alpha,
urn:cite:openpal:fuCB25op.10015,urn:cite:ecod:codbod25.cb-0025_056r@0.4609,0.1818,0.02,0.0203,τ,tau,
urn:cite:openpal:fuCB25op.10016,urn:cite:ecod:codbod25.cb-0025_056r@0.476,0.1833,0.0281,0.0203,α,alpha,
urn:cite:openpal:fuCB25op.10017,urn:cite:ecod:codbod25.cb-0025_056r@0.507,0.1796,0.0281,0.0203,ε,epsilon,
urn:cite:openpal:fuCB25op.10018,urn:cite:ecod:codbod25.cb-0025_056r@0.1824,0.2089,0.02,0.0203,θ,theta,
urn:cite:openpal:fuCB25op.10019,urn:cite:ecod:codbod25.cb-0025_056r@0.1984,0.2119,0.02,0.0203,ν,nu,
urn:cite:openpal:fuCB25op.10020,urn:cite:ecod:codbod25.cb-0025_056r@0.2144,0.2059,0.02,0.0203,η,eta,
urn:cite:openpal:fuCB25op.10021,urn:cite:ecod:codbod25.cb-0025_056r@0.2495,0.2066,0.02,0.0203,β,beta,
urn:cite:openpal:fuCB25op.10022,urn:cite:ecod:codbod25.cb-0025_056r@0.2675,0.2119,0.0251,0.0173,α,alpha,
urn:cite:openpal:fuCB25op.10023,urn:cite:ecod:codbod25.cb-0025_056r@0.2946,0.2089,0.0251,0.0173,πτ,pi+tau ligature,
urn:cite:openpal:fuCB25op.10024,urn:cite:ecod:codbod25.cb-0025_056r@0.3156,0.2096,0.014,0.0173,ι,iota,
urn:cite:openpal:fuCB25op.10025,urn:cite:ecod:codbod25.cb-0025_056r@0.3297,0.2096,0.0271,0.0173,ζ,zeta,
urn:cite:openpal:fuCB25op.10026,urn:cite:ecod:codbod25.cb-0025_056r@0.3557,0.2119,0.016,0.0098,ο,omicron,
urn:cite:openpal:fuCB25op.10027,urn:cite:ecod:codbod25.cb-0025_056r@0.3667,0.2096,0.02,0.0173,ν,nu,
urn:cite:openpal:fuCB25op.10028,urn:cite:ecod:codbod25.cb-0025_056r@0.3818,0.2096,0.02,0.0173,τ,tau,
urn:cite:openpal:fuCB25op.10029,urn:cite:ecod:codbod25.cb-0025_056r@0.3978,0.2074,0.024,0.0173,εσ,epsilon+sigma ligature,
urn:cite:openpal:fuCB25op.10030,urn:cite:ecod:codbod25.cb-0025_056r@0.4208,0.2104,0.0261,0.0135,α,alpha,
urn:cite:openpal:fuCB25op.10031,urn:cite:ecod:codbod25.cb-0025_056r@0.4399,0.2096,0.016,0.0128,υ,upsilon,
urn:cite:openpal:fuCB25op.10032,urn:cite:ecod:codbod25.cb-0025_056r@0.4559,0.2089,0.018,0.0143,τ,tau,
urn:cite:openpal:fuCB25op.10033,urn:cite:ecod:codbod25.cb-0025_056r@0.4699,0.2089,0.012,0.0143,ο,omicron,
urn:cite:openpal:fuCB25op.10034,urn:cite:ecod:codbod25.cb-0025_056r@0.48,0.2081,0.0291,0.0143,υσ,upsilon+sigma ligature,,
urn:cite:openpal:fuCB25op.10035,urn:cite:ecod:codbod25.cb-0025_056r@0.507,0.2051,0.018,0.0188,ει,epsilon+iota ligature,
urn:cite:openpal:fuCB25op.10036,urn:cite:ecod:codbod25.cb-0025_056r@0.519,0.2059,0.018,0.015,σ,sigma,
urn:cite:openpal:fuCB25op.10037,urn:cite:ecod:codbod25.cb-0025_056r@0.1864,0.2314,0.022,0.0225,τ,tau,
urn:cite:openpal:fuCB25op.10038,urn:cite:ecod:codbod25.cb-0025_056r@0.1994,0.2374,0.016,0.012,ο,omicron,
urn:cite:openpal:fuCB25op.10039,urn:cite:ecod:codbod25.cb-0025_056r@0.2164,0.2374,0.016,0.012,ο,omicron,
urn:cite:openpal:fuCB25op.10040,urn:cite:ecod:codbod25.cb-0025_056r@0.2305,0.2367,0.018,0.015,ν,nu,
urn:cite:openpal:fuCB25op.10041,urn:cite:ecod:codbod25.cb-0025_056r@0.2475,0.2367,0.018,0.015,ο,omicron,
urn:cite:openpal:fuCB25op.10042,urn:cite:ecod:codbod25.cb-0025_056r@0.2655,0.2367,0.018,0.015,μ,mu,
